交接单信息,
箱号,BOX-CSV-FINAL-20260606162431
交接ID,186
起点,CP001
终点,TP002
交出人,Dr. Zhang
接收人,Dr. Wang
交接时间,2026-06-06 08:24:49.435937
交接温度,4.5
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606082433-0,blood,CP001,2026-06-06T08:24:33.239436,DELIVERED
2,SAMP-CSV-20260606082435-1,blood,CP001,2026-06-06T08:24:35.273076,DELIVERED

撤回历史,,,,,
序号,交接ID,起点,终点,交出人,接收人,交接时间,撤回时间,撤回人,撤回原因
1,185,CP001,TP001,Dr. Zhang,Dr. Li,2026-06-06T08:24:45.380202,2026-06-06T08:24:47.409060,Dr. Li,样本信息有误，需要重新核对
