交接单信息,
箱号,BOX-CSV-S2-20260606155944
交接ID,131
起点,CP001
终点,TP002
交出人,Dr. Zhang
接收人,Dr. Wang
交接时间,2026-06-06 08:00:16.356962
交接温度,4.3
规则版本,v1.0
是否已撤回,False
撤回时间,None
撤回人,
撤回原因,

样本清单,,,,
序号,样本条码,样本类型,采集点,采集时间,状态
1,SAMP-CSV-20260606080000-0,blood,CP001,2026-06-06T08:00:00.200734,IN_TRANSIT
2,SAMP-CSV-20260606080002-1,blood,CP001,2026-06-06T08:00:02.213505,IN_TRANSIT

撤回历史,,,,,
序号,交接ID,起点,终点,交出人,接收人,交接时间,撤回时间,撤回人,撤回原因
1,130,CP001,TP001,Dr. Zhang,Dr. Li,2026-06-06T08:00:12.310435,2026-06-06T08:00:14.334386,Dr. Li,样本信息有误
