预约单号,站点编码,客户编码,客户名称,温区,温区名称,车辆牌号,计划出库时间,状态,箱号,关联交接记录ID,创建人,确认人,确认时间,取消人,取消时间,取消原因,关联装车计划ID,规则版本,创建时间,更新时间,备注
RES-20260606122244071,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T12:22:42.058001,DRAFT,BOX-RES-BATCH-20260606201536-0,,admin,,,,,,,res-v1.0,2026-06-06T12:22:44.072252,2026-06-06T12:22:44.072256,批量导入测试0
RES-20260606122244076,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T12:22:42.058001,DRAFT,BOX-RES-BATCH-20260606201536-1,,admin,,,,,,,res-v1.0,2026-06-06T12:22:44.076781,2026-06-06T12:22:44.076784,批量导入测试1
RES-20260606122244079,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T12:22:42.058001,DRAFT,BOX-RES-BATCH-20260606201536-2,,admin,,,,,,,res-v1.0,2026-06-06T12:22:44.080087,2026-06-06T12:22:44.080091,批量导入测试2
RES-20260606122244082,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T12:22:42.058001,DRAFT,BOX-RES-BATCH-20260606201536-3,,admin,,,,,,,res-v1.0,2026-06-06T12:22:44.083236,2026-06-06T12:22:44.083239,批量导入测试3
RES-20260606122244086,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T12:22:42.058001,DRAFT,BOX-RES-BATCH-20260606201536-4,,admin,,,,,,,res-v1.0,2026-06-06T12:22:44.086350,2026-06-06T12:22:44.086352,批量导入测试4
RES-20260606121713212,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A99999,2026-06-07T12:17:11.201885,LOADED,BOX-RES-CONFLICT-20260606201536,,admin,admin,2026-06-06T12:21:43.475827,,,,10,res-v1.0,2026-06-06T12:17:13.212843,2026-06-06T12:21:49.538226,
RES-20260606121659072,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),,2026-06-07T12:16:44.971466,DRAFT,BOX-RES-PERM2-20260606201536,,admin,,,,,,,res-v1.0,2026-06-06T12:16:59.072657,2026-06-06T12:16:59.072660,
RES-20260606121558499,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T12:15:56.476711,LOADED,BOX-RES-SUCCESS-20260606201536,221,admin,admin,2026-06-06T12:16:04.568333,,,,9,res-v1.0,2026-06-06T12:15:58.501111,2026-06-06T12:16:28.829448,调整车辆
RES-20260606121618698,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T12:15:56.476711,LOADED,BOX-RES-SUCCESS2-20260606201536,222,admin,admin,2026-06-06T12:16:20.728574,,,,9,res-v1.0,2026-06-06T12:16:18.699249,2026-06-06T12:16:30.848829,
RES-20260606120849379,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T12:08:47.358591,DRAFT,BOX-RES-BATCH-20260606200141-0,,admin,,,,,,,res-v1.0,2026-06-06T12:08:49.379909,2026-06-06T12:08:49.379912,批量导入测试0
RES-20260606120849383,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T12:08:47.358591,DRAFT,BOX-RES-BATCH-20260606200141-1,,admin,,,,,,,res-v1.0,2026-06-06T12:08:49.384321,2026-06-06T12:08:49.384324,批量导入测试1
RES-20260606120849387,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T12:08:47.358591,DRAFT,BOX-RES-BATCH-20260606200141-2,,admin,,,,,,,res-v1.0,2026-06-06T12:08:49.387552,2026-06-06T12:08:49.387555,批量导入测试2
RES-20260606120849390,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T12:08:47.358591,DRAFT,BOX-RES-BATCH-20260606200141-3,,admin,,,,,,,res-v1.0,2026-06-06T12:08:49.390728,2026-06-06T12:08:49.390730,批量导入测试3
RES-20260606120849393,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T12:08:47.358591,DRAFT,BOX-RES-BATCH-20260606200141-4,,admin,,,,,,,res-v1.0,2026-06-06T12:08:49.393994,2026-06-06T12:08:49.393996,批量导入测试4
RES-20260606120318146,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A99999,2026-06-07T12:03:16.129255,LOADED,BOX-RES-CONFLICT-20260606200141,,admin,admin,2026-06-06T12:07:48.783070,,,,8,res-v1.0,2026-06-06T12:03:18.147071,2026-06-06T12:07:54.861085,
RES-20260606120304005,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),,2026-06-07T12:02:49.883912,DRAFT,BOX-RES-PERM2-20260606200141,,admin,,,,,,,res-v1.0,2026-06-06T12:03:04.006010,2026-06-06T12:03:04.006013,
RES-20260606120203357,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T12:02:01.327357,LOADED,BOX-RES-SUCCESS-20260606200141,219,admin,admin,2026-06-06T12:02:09.436363,,,,7,res-v1.0,2026-06-06T12:02:03.358635,2026-06-06T12:02:33.731447,调整车辆
RES-20260606120223612,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T12:02:01.327357,LOADED,BOX-RES-SUCCESS2-20260606200141,220,admin,admin,2026-06-06T12:02:25.627286,,,,7,res-v1.0,2026-06-06T12:02:23.612882,2026-06-06T12:02:35.751508,
RES-20260606115823602,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T11:58:21.584980,DRAFT,BOX-RES-BATCH-20260606195116-0,,admin,,,,,,,res-v1.0,2026-06-06T11:58:23.602584,2026-06-06T11:58:23.602587,批量导入测试0
RES-20260606115823606,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T11:58:21.584980,DRAFT,BOX-RES-BATCH-20260606195116-1,,admin,,,,,,,res-v1.0,2026-06-06T11:58:23.607180,2026-06-06T11:58:23.607183,批量导入测试1
RES-20260606115823610,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T11:58:21.584980,DRAFT,BOX-RES-BATCH-20260606195116-2,,admin,,,,,,,res-v1.0,2026-06-06T11:58:23.610328,2026-06-06T11:58:23.610330,批量导入测试2
RES-20260606115823613,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T11:58:21.584980,DRAFT,BOX-RES-BATCH-20260606195116-3,,admin,,,,,,,res-v1.0,2026-06-06T11:58:23.613306,2026-06-06T11:58:23.613309,批量导入测试3
RES-20260606115823615,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T11:58:21.584980,DRAFT,BOX-RES-BATCH-20260606195116-4,,admin,,,,,,,res-v1.0,2026-06-06T11:58:23.616250,2026-06-06T11:58:23.616253,批量导入测试4
